Companies	Details
Address	"PEL Factory, , 14-KM, Ferozepur Road,,Lahore"
Phone	051-2813021-2
Phone 2	
Fax	051-2813023
Date of Listing	30/01/1996
Email	"m.asif@kel.com.pk, kel@kel.com.pk"
URL	www.kel.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. M. Zeid Yousuf Saigol
Designation	Chief Executive
Company	Kohinoor Power Company Limited
Address	"17-Aziz Avenue , Canal Bank, Gulberg-V,Lahore"
Phone	"042-35717364-65, 35718274-75"
Phone 2	
Fax	042-35762707-35715105-35717785
Date of Listing	28/04/1993
Email	"shares@saigols.com, saigolgroup@saigols.com"
URL	"www.saigols.com, www.kpcl.com.pk"
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Mahmood Akhtar
Designation	Chief Executive Officer
Company	Lalpir Power Limited
Address	"1-B, Aziz Avenue, Canal Bank , Gulberg-V,Lahore"
Phone	042-35717090-96
Phone 2	042-35717159-63
Fax	042-35717239
Date of Listing	20/08/2013
Email	lalpir@lalpir.com
URL	www.lalpir.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Farrukh Ifzal
Designation	Chief Executive Officer
Company	Nishat Chunian Power Limited
Address	"31-Q , Gulberg-II,Lahore"
Phone	042-35761730-39
Phone 2	
Fax	042-35878696-97
Date of Listing	22/10/2009
Email	ncpl@nishat.net
URL	www.nishat.net
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Ghazanfar Hussain Mirza
Designation	Chief Executive Officer
Company	Nishat Power Limited
Address	"Nishat House , 53-A, Lawrence Road,Lahore"
Phone	042-111-113-333
Phone 2	042-36367812-16
Fax	042-36367414
Date of Listing	07/10/2009
Email	info@nishatpower.com
URL	www.nishatpower.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mian Hassan Mansha
Designation	Chief Executive Officer
Company	Pakgen Power Limited
Address	"Nishat House, , 53-A, Lawrence Road,,Lahore"
Phone	111-113-333
Phone 2	042-6367812-16
Fax	042-36367414
Date of Listing	21/07/2011
Email	
URL	www.pakgenpower.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Javed Iqbal
Designation	Chief Executive Officer
Company	Sitara Energy Limited
Address	"601-602, Business Centre , Mumtaz Hassan Road,Karachi"
Phone	021-32413944-32420620
Phone 2	
Fax	021-32415452
Date of Listing	14/11/1995
Email	corporate@sitara.pk
URL	www.sitara.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Asim Ahmed
Designation	Chief Executive
Company	S.G. Power Limited
Address	"B-40 , S.I.T.E,Karachi"
Phone	"021-32561193,M-03343141696"
Phone 2	021-32593500
Fax	021-2563113-2653113
Date of Listing	12/11/1995
Email	info@sglyne.com
URL	www.sglyne.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Sohail H Hydari
Designation	Chief Executive Officer
Company	Saif Power Limited
Address	"1st Floor, Kashmir Commercial Complex (KCC) , Fazal-ul-Haq Road, Block-E, Blue Area,Islamabad"
Phone	051-2271381-3
Phone 2	
Fax	051-2277670
Date of Listing	15/12/2014
Email	info.spl@saifgroup.com
URL	www.saifpower.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Asad Ahmad
Designation	Chief Executive
Company	Tri-Star Power Limited
Address	"6th Floor, Image Tower, A/33, Central Commercial Area , Block-7/8, Karachi Co-operative Housing Societies Union,Karachi"
Phone	021-32571598-32572356
Phone 2	
Fax	021-32563872
Date of Listing	08/02/1994
Email	power@tristar.com.pk
URL	
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Muhammad Ejaz
Designation	Chief Executive Officer
Company	Dolmen City REIT
Address	"Arif Habib Dolmen REIT Management Limited , Arif Habib Centre,23 M.T. Khan Road,Karachi"
Phone	021-32468102
Phone 2	
Fax	021-32466824
Date of Listing	26/06/2015
Email	reit@arifhabib.com.pk
URL	www.arifhabibdolmenreit.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. M. Adil Khattak
Designation	Chief Executive
Company	Attock Refinery Limited
Address	"The Refinery , Morgah,Rawalpindi"
Phone	051-5487041-45
Phone 2	
Fax	"051-5487093-4, 5406229"
Date of Listing	09/08/1980
Email	info@arl.com.pk
URL	www.arl.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Amir Abbassciy
Designation	Chief Executive Officer
Company	Cnergyico Pk Limited
Address	"The Harbour Front, 9th Floor Dolmen City , HC-3, Block 4, Marine Drive, Clifton,Karachi"
Phone	021-111 222 081
Phone 2	
Fax	021-111 888 081
Date of Listing	15/07/2002
Email	company.secretary@cnergyico.com
URL	www.cnergyico.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Jamil A. Khan
Designation	Chief Executive Officer
Company	National Refinery Limited
Address	"7-B Korangi Industrial Zone , Korangi,Karachi"
Phone	11-675-675
Phone 2	021-35064981-86
Fax	021-35054663-35066705
Date of Listing	09/10/1964
Email	info@nrlpak.com
URL	www.nrlpak.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Zahid Mir
Designation	Chief Executive Officer
Company	Pakistan Refinery Limited
Address	"Korangi Creek Road , ,Karachi"
Phone	021-35122131-40
Phone 2	021-35091811-16
Fax	021-35060145-35091780
Date of Listing	01/11/1960
Email	info@prl.com.pk
URL	www.prl.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Asim Ghani Usman
Designation	Chief Executive Officer
Company	Al-Abbas Sugar Mills Limited
Address	"Pardesi House, Survey No.2/1, R.Y.-16 , Old Queens Road,Karachi"
Phone	021-32470220-29
Phone 2	"021-32470087, 111-111-224"
Fax	021-32470090
Date of Listing	08/07/1992
Email	sugar@aasml.com
URL	www.aasml.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Ghulam Ahmed Adam
Designation	Chief Executive
Company	Adam Sugar Mills Limited
Address	"Haji Adam Chambers , Altaf Hussain Road, New Challi,Karachi"
Phone	021-32417812- 16
Phone 2	021-32401139-43
Fax	021-32427560-32417907
Date of Listing	14/06/1967
Email	info@adam.com.pk
URL	www.adam.com.pk/adamsugar.html
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Muhammad Dawood
Designation	Chief Executive Officer
Company	Abdullah Shah Ghazi Sugar Mills Limited
Address	"7/10, A-2, Arkay Square, Shahrah-e-Liaqat, , New Challi,,Karachi"
Phone	
Phone 2	
Fax	
Date of Listing	12/03/1990
Email	sohail.cfo@maccagroup.com
URL	www.asgsml.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Mohammad Yusuf Ayoob
Designation	Chief Executive
Company	Al-Noor Sugar Mills Limited
Address	"96-A , Sindhi Muslim Society,Karachi"
Phone	"021-34550161-63, 34550030-31"
Phone 2	
Fax	021-34556675-3455383
Date of Listing	11/07/1970
Email	info@alnoorsugar.co
URL	www.alnoorsugar.co
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Khawaja Anvar Majeed
Designation	Chief Executive Officer
Company	Ansari Sugar Mills Limited
Address	"1st Floor, Block # 02, Hockey Club of Pakistan Stadium , Liaquat Barracks,Karachi"
Phone	021-35655131-4
Phone 2	021-111-666-447
Fax	021-35680533
Date of Listing	07/01/1991
Email	Admin@ansarisugar.com
URL	www.ansarisugar.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mr. Adnan Ahmed Khan
Designation	Chief Executive Officer
Company	Baba Farid Sugar Mills Limited
Address	"2-D-1 , Gulbeg-III,Lahore"
Phone	042-35771066-71
Phone 2	
Fax	"042-35756687, 35771175"
Date of Listing	26/06/1984
Email	info@bfsml.com
URL	www.bfsml.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Khan Aziz Sarfaraz Khan
Designation	Chief Executive
Company	Chashma Sugar Mills Limited
Address	"King's Arcade, 20-A , Markaz,F-7,Islamabad"
Phone	051-2650805-07
Phone 2	
Fax	051-2651285-6
Date of Listing	05/08/1991
Email	psmisl@premiergrouppk.com
URL	www.chashmasugarmills.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Zeeshan Ashraf
Designation	Chief Executive Officer
Company	Dewan Sugar Mills Limited
Address	"Dewan Centre, 3-A, Lalazar , Beach Hotel Road,Karachi"
Phone	021-111-364-111
Phone 2	
Fax	021-35630860
Date of Listing	07/07/1987
Email	info@yousufdewan.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mr. Ahmed Ali Bawany
Designation	Chief Executive
Company	Faran Sugar Mills Limited
Address	"Plot No.43-1-E, P.E.C.H.S., Block-6 , Off: Razi Road Shahrah-e-Faisal,Karachi"
Phone	021-34322851-54
Phone 2	021-111-229-269
Fax	021-34322863-4
Date of Listing	05/06/1984
Email	info@faran.com.pk
URL	www.faran.com.pk
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Khursheed Anwer Jamal
Designation	Chief Executive Officer
Company	Habib Sugar Mills Limited
Address	"4th Floor, Imperial Court , Dr. Ziauddin Ahmed Road,Karachi"
Phone	021-35680036 (5 Lines)
Phone 2	
Fax	021-35684086
Date of Listing	09/07/1963
Email	sugar@habib.com
URL	www.habibsugar.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Owais G. Habib
Designation	Managing Director
Company	Habib Rice Products Limited
Address	"2nd Floor, UBL Building,Opp: Police Head Office , I.I. Chundrigar Road,Karachi"
Phone	021-32411887
Phone 2	
Fax	021-32414581
Date of Listing	23/06/1982
Email	info@habibriceproducts.com
URL	www.hrpl-financialstatement.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Mustafa Ali Tariq
Designation	Chief Executive
Company	Husein Sugar Mills Limited
Address	"28-C, Block-E-1, , Gulberg-III,,Lahore"
Phone	042-111-111-476
Phone 2	
Fax	
Date of Listing	24/05/1967
Email	info@hsm.com.pk
URL	www.huseinsugarmills.com
	
Representative	Mian Haseeb Ilyas
Designation	Chief Executive Officer
Company	Haseeb Waqas Sugar Mills Limited
Address	"06-F Block , Model Town,Lahore"
Phone	042-35917321-23
Phone 2	042-35917313
Fax	042-35917317-37917317
Date of Listing	01/02/1994
Email	hwgc@hwgc.com.pk
URL	www.hwgc.com.pk
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Raheal Masud
Designation	Chief Executive
Company	JDW Sugar Mills Limited
Address	"17, Abid Majeed Road , Lahore Cantt.,Lahore"
Phone	042-36664891-92
Phone 2	
Fax	042-36654490
Date of Listing	04/08/1992
Email	jdwho@jdw-group.com
URL	www.jdw-group.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Syed Anwar Hussain Shahid
Designation	Chief Executive Officer
Company	Jauharabad Sugar Mills Limited
Address	"125-B, Quaid-e-Azam Industrial Estate , Kot Lakhpat,Lahore"
Phone	042-35213491
Phone 2	
Fax	042-35213490
Date of Listing	18/12/1973
Email	secretary@jsml.com.pk
URL	www.jsml.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Faraz Mubeen Jumani
Designation	Chief Executive
Company	Khairpur Sugar Mills Limited
Address	"51 / II / IV, Khayaban-e-Janbaz, , Phase-V, Ext. D. H. A.,Karachi"
Phone	021-35250131-35
Phone 2	
Fax	021-35250136
Date of Listing	05/01/1993
Email	headoffice@jumanigroup.com
URL	www.jumanigroup.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Aslam Faruque
Designation	Chief Executive
Company	Mirpurkhas Sugar Mills Limited
Address	"Modern Motors House , Beaumont Road,Karachi"
Phone	"021-111-354-111, 35682565-67"
Phone 2	021-35682569-70
Fax	021-35682839-35688036
Date of Listing	27/11/1964
Email	msm@gfg.com.pk
URL	www.gfg.com.pk
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Ahmed Ebrahim Hasham
Designation	Chief Executive Officer
Company	Mehran Sugar Mills Limited
Address	"Executive Tower, Dolmen City, 14-B, 14th Floor , HC-3, Marine Drive, Block-4, Clifton,Karachi"
Phone	021-35297814-17
Phone 2	
Fax	021-35297818
Date of Listing	16/07/1968
Email	msm@mehransugar.com
URL	www.mehransugar.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Lt. Col. Abdul Khaliq Khan (Retd)
Designation	Chief Executive
Company	Noon Sugar Mills Limited
Address	"66-Garden Block , New Garden Town,Lahore"
Phone	042-35831462-63
Phone 2	
Fax	042-35831462
Date of Listing	27/08/1966
Email	"shares@noonsugar.com, noonshr@brain.net.pk"
URL	www.noonsugar.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Abbas Sarfaraz Khan
Designation	Chief Executive
Company	The Premier Sugar Mills & Distillery Company Limited
Address	"Kings' Arcade, 20-A, , Markaz F-7,,Islamabad"
Phone	(051) 2650805-7
Phone 2	
Fax	
Date of Listing	12/05/1955
Email	psmsugar@brain.net.pk
URL	www.premiersugarmills.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Ghulam Hyder
Designation	Chief Executive
Company	Sanghar Sugar Mills Limited
Address	"Office # 204, 2nd Floor, Clifton Centre , Block-5, Clifton,Karachi"
Phone	021-35371441-43
Phone 2	
Fax	021-35371444
Date of Listing	03/07/1989
Email	info@sangharsugarmills.com
URL	www.sangharsugarmills.com
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Dr. Tara Chand Essarani
Designation	Chief Executive
Company	Sindh Abadgar's Sugar Mills Limited
Address	"209, 2nd Floor, Progressive Plaza , Beaumont Road,Karachi"
Phone	021-35638212-13
Phone 2	
Fax	021-35638219
Date of Listing	03/06/1987
Email	sasm@unitedgroup.org.pk
URL	www.sasm.org
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Muneer Nawaz
Designation	Chief Executive
Company	Shahtaj Sugar Mills Limited
Address	"Shahnawaz Building,19, Dockyard Road , West Wharf,Karachi"
Phone	021-32313935-38
Phone 2	
Fax	021-32310623
Date of Listing	17/07/1967
Email	"mail@shahtajsugar.com, jamilbutt@shahtaj.com"
URL	www.shahtajsugar.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Zia Zakaria
Designation	Chief Executive Officer
Company	Shahmurad Sugar Mills Limited
Address	"96-A, , Sindhi Muslim Housing Society,Karachi"
Phone	021-34550030-31
Phone 2	021-34550161-63
Fax	021-34556675-34555383
Date of Listing	14/04/1984
Email	info@shahmuradsugar.co
URL	www.shahmuradsugar.co
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Dinshaw H. Anklesaria
Designation	Chief Executive
Company	Sakrand Sugar Mills Limited
Address	"41-K, Block-6, , P.E.C.H.S.,Karachi"
Phone	021-35303291-92
Phone 2	021-111-484-848
Fax	021-34546456
Date of Listing	19/05/1990
Email	admin@sakrandsugar.com
URL	www.sakrandsugar.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Anjum Muhammad Saleem
Designation	Chief Executive Officer
Company	Shakarganj Limited
Address	"E-Floor, IT Tower , 73-E/1, Hali Road, Gulberg-III,Lahore"
Phone	042-35783801-04
Phone 2	042-111-111-765
Fax	042-35783811
Date of Listing	13/06/1979
Email	asif.malik@shakarganj.com.pk
URL	www.shakarganj.com.pk
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Muhammad Shamim Khan
Designation	Chief Executive
Company	The Thal Industries Corporation Limited
Address	"23 Pir Khurshid Colony , Gulgasht,Multan"
Phone	061-6524621-6524675
Phone 2	
Fax	061-6524676
Date of Listing	23/12/1955
Email	info@thalindustries.com
URL	www.thalindustries.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Akbar Khan
Designation	Chief Executive
Company	Tandlianwala Sugar Mills Limited
Address	"66-L , Gulberg-II,Lahore"
Phone	042-35761124
Phone 2	
Fax	042-35710605
Date of Listing	28/08/1992
Email	tsmlho@yahoo.com
URL	www.tsmlgroup.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Naseem A. Sattar
Designation	Chief Executive Officer
Company	Al-Abid Silk Mills Limited
Address	"A-34/A, , S.I.T.E., Manghopir Road,Karachi"
Phone	021-32560040
Phone 2	
Fax	021-32564718
Date of Listing	25/09/1989
Email	mail@alabid.com
URL	www.alabid.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Zafar Asim
Designation	Chief Executive
Company	Dewan Salman Fibre Limited
Address	"7th Floor, Block-A, Finance & Trade Centre , Shahrah-e-Faisal,Karachi"
Phone	21-35205244-5
Phone 2	21-111 364 111
Fax	21-35630860
Date of Listing	14/01/1991
Email	dsfl.corp@yousufdewan.com
URL	www.yousufdewan.com
Registrar	BMF Consultants Pakistan (Pvt.) Ltd.
	
Representative	Mr. Shabbir Diwan
Designation	Chief Executive Officer
Company	Gatron (Industries) Limited
Address	"11th Floor, G&T Tower # 18 , Beaumont Road, Civil Lines-10,Karachi"
Phone	021-35659500-6
Phone 2	
Fax	021-35659516
Date of Listing	01/06/1992
Email	headoffice@gatron.com
URL	www.gatron.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Mohammad Naeem Mukhtar
Designation	Chief Executive Officer
Company	Ibrahim Fibres Limited
Address	"Ibrahim Centre , 15-Club Road,Faisalabad"
Phone	041-2617836-41
Phone 2	
Fax	041-2617842
Date of Listing	24/01/1995
Email	saqib.iqbal@igc.com.pk
URL	www.igcpk.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Asad Ahmad
Designation	Chief Executive
Company	Image Pakistan Limited (Formerly: Tri-Star Polyester Limited)
Address	"F/538 , S.I.T.E,Karachi"
Phone	021-32582613
Phone 2	021-34370471
Fax	
Date of Listing	04/05/1992
Email	info@image.net.pk
URL	"www.imagepakistan.net, www.image.net.pk"
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Riaz Niazi
Designation	Chief Executive
Company	National Fibres Limited
Address	"Plot No. 16-20, Sector 22 , Korangi Industrial Area,Karachi"
Phone	5068931-35
Phone 2	
Fax	5060784
Date of Listing	27/10/1992
Email	
URL	
Registrar	
	
Representative	Sh. Faisal Tauheed Puri
Designation	Chief Executive
Company	The National Silk & Rayon Mills Limited
Address	"Jaranwala Road , ,Faisalabad"
Phone	041-8534240-8530235-36
Phone 2	041-8712216-8721765
Fax	(92-41)8712216-8721765
Date of Listing	28/05/1962
Email	faisal@nationalsilk.com
URL	www.nationalsilk.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Yakoob Haji Karim
Designation	Chief Executive Officer
Company	Pakistan Synthetics Limited
Address	"Office No. 1504, 15th Floor, Emerald Tower, , Block 5, Clifton,,Karachi"
